date-time,year,month,day,hub_id,t1,t2,cat_ord,cat_car
22.12.2015,2009,7,28,1,13284,12468,RSD,false
12.09.2017,1995,6,13,2,13401,16368,PHP,false
05.06.2018,1995,7,3,4,11485,12106,EGP,false
07.01.2019,1984,5,5,5,11543,10386,USD,true
11.02.2020,1993,9,21,4,16910,19971,CNY,false
25.08.2016,2003,12,6,1,12302,13884,BOB,
01.04.2016,2001,7,4,2,18810,16966,RUB,true
25.03.2017,2006,10,12,2,15030,18635,BRL,false
17.06.2019,1986,6,10,5,11890,15605,CNY,false
13.06.2019,2009,5,7,5,14396,15195,,false
01.06.2017,1992,8,15,3,17290,16776,EUR,false
17.05.2019,2011,11,21,1,19290,16786,MMK,true
28.05.2019,2008,11,8,2,12902,11651,NGN,false
13.08.2017,2004,6,11,2,17008,14426,CNY,true
15.03.2017,1994,10,11,2,12475,18946,UAH,false
18.01.2019,1996,4,10,4,17756,14867,EUR,false
25.06.2015,2000,3,7,5,18813,18916,NOK,false
18.04.2016,1995,4,11,1,19318,12782,BRL,true
11.02.2019,1990,5,14,3,17913,16009,RUB,true
05.04.2016,2006,6,21,1,19662,16489,AFN,false
02.09.2018,2008,9,7,1,16066,18865,BRL,true
23.10.2019,1998,12,30,3,19138,12156,EUR,true
22.08.2018,2000,7,26,3,,,AZN,true
19.04.2018,1986,10,10,3,10512,19418,CNY,false
26.01.2020,1999,3,7,5,18872,17767,PHP,false
12.11.2015,1997,4,22,1,13828,12844,MXN,true
14.01.2019,2005,11,5,5,19186,19177,KZT,false
13.04.2019,2012,8,2,3,15898,16763,CNY,true
31.08.2017,1985,3,21,5,14861,17644,ZAR,true
04.04.2016,2010,7,27,4,15191,14995,,true
26.03.2015,2006,9,12,1,15463,11646,UYU,false
10.07.2016,2000,7,20,3,19088,17117,IDR,false
10.12.2018,1994,10,15,3,18535,14192,CNY,false
18.08.2018,2010,7,23,1,17718,10234,IDR,true
24.10.2015,2012,10,24,1,15716,15925,RUB,false
24.10.2017,1989,4,17,2,13507,14112,ARS,false
08.09.2018,2010,5,25,1,,,CNY,false
26.01.2020,2009,4,17,5,10494,14861,ARS,false
05.03.2018,1996,6,11,1,14390,11338,ARS,true
17.01.2017,1996,10,29,5,16740,10593,PEN,true
06.06.2015,2012,12,1,4,18768,17424,PKR,true
04.05.2016,2004,3,23,4,13425,18904,CNY,false
25.09.2019,2003,12,9,2,14044,19001,SEK,false
18.01.2018,1998,10,16,2,17150,12490,VEF,true
06.08.2016,1998,9,3,4,10065,18001,IDR,true
06.03.2018,2009,11,11,2,16589,19279,ARS,true
08.05.2016,2006,10,3,3,10852,18942,BGN,true
16.11.2015,2008,3,6,2,14844,14916,CAD,false
28.11.2019,2012,8,2,5,12602,18536,BRL,true
23.06.2018,2007,11,22,2,18823,15019,BRL,false
11.07.2015,1995,7,14,5,19002,17880,EUR,false
18.11.2018,1997,7,21,4,16741,16532,CNY,true
11.02.2018,1980,8,15,4,19196,18222,BRL,true
03.07.2015,2002,6,12,3,16935,15009,MAD,false
18.12.2017,2004,11,23,3,15795,19587,CNY,false
22.02.2016,1990,6,10,3,12199,13022,EUR,false
01.04.2015,1993,6,29,3,14845,10225,BGN,false
31.12.2017,2005,6,22,1,10741,10000,PHP,false
03.09.2017,1999,6,5,4,15611,16077,,true
25.06.2016,2004,4,15,2,12997,14698,HTG,false
04.04.2016,1996,7,20,3,18208,11706,CNY,false
02.11.2015,1992,6,11,3,18561,15743,UAH,false
30.03.2017,2007,11,18,3,16558,17143,AFN,false
14.09.2017,2001,5,9,3,10154,18895,AZN,false
18.03.2015,1988,8,30,5,10213,13254,CNY,true
11.07.2018,2009,7,27,5,11610,16635,UAH,true
09.03.2016,1995,4,20,1,16675,15628,RUB,true
21.07.2015,1986,4,11,5,,,IDR,false
24.01.2016,2007,3,5,3,10914,12933,CNY,false
19.07.2019,2005,9,16,2,14527,13521,ZAR,true
22.08.2019,2004,3,28,2,12657,15542,PEN,true
04.10.2018,2009,9,23,5,18081,17774,PEN,true
23.05.2017,1999,9,22,2,19656,18481,COP,true
14.03.2015,2007,3,12,1,10961,16154,CNY,true
10.01.2019,1995,11,3,5,18432,18513,CNY,false
14.03.2019,2004,11,26,5,13733,15569,RUB,false
25.02.2019,2003,4,28,3,11398,13458,CNY,false
25.06.2015,2004,5,12,5,13515,11427,JMD,true
06.06.2017,2007,11,2,4,12743,14923,VEF,true
06.01.2017,2001,4,1,1,17882,18496,EUR,false
04.08.2015,2004,12,14,1,14514,14331,IDR,false
11.06.2017,1991,4,20,3,,,LTL,true
28.07.2015,1993,6,11,3,10027,13185,THB,true
11.05.2019,2001,8,1,4,15767,12854,CNY,true
28.11.2015,2003,3,7,2,12441,10383,CNY,false
28.02.2020,1985,9,6,2,13134,11724,,true
07.12.2016,2004,4,29,1,18492,11867,SLL,true
29.10.2016,2006,11,4,2,,,PLN,true
20.10.2015,1989,8,24,4,11975,11779,NIO,false
13.11.2016,2007,4,19,3,12719,17171,CNY,false
30.08.2017,1984,9,6,3,18283,14706,PEN,true
07.05.2018,1998,4,18,3,18161,19504,MZN,false
05.04.2015,1999,12,15,3,11848,10638,XOF,true
29.06.2015,2009,9,12,3,17950,14615,SEK,true
06.06.2018,2011,4,1,4,,,EUR,true
21.09.2017,2010,10,21,5,13632,13551,PLN,true
08.06.2017,2002,7,25,1,18588,19271,KPW,true
03.12.2017,2007,10,24,5,10103,13150,CNY,true
01.12.2018,1999,6,23,4,14845,11133,NOK,false
17.08.2019,1989,10,15,2,18420,13698,RUB,
28.07.2018,1967,9,19,4,16857,11545,IDR,false
07.05.2015,2001,11,22,2,11389,13943,CNY,true
10.03.2020,2006,5,25,2,14326,16693,BRL,true
24.07.2015,2009,11,25,4,11805,16334,IDR,true
14.08.2015,2010,4,28,5,19458,12262,EUR,
31.10.2016,2009,6,9,4,19980,15864,CNY,true
07.11.2018,2006,7,11,4,13398,12475,JPY,false
26.11.2017,2007,5,9,4,18615,11564,,false
10.11.2019,2012,10,23,1,10408,19210,RUB,false
05.02.2019,2006,4,22,2,15474,18414,UZS,false
04.10.2017,1992,9,7,4,18875,11337,PYG,true
24.12.2015,1988,6,20,1,15727,12637,PHP,true
08.03.2016,2002,12,10,1,11131,12717,IDR,true
22.01.2018,2001,12,2,1,10539,15586,NGN,false
21.05.2017,2009,12,13,3,10794,17911,IDR,true
01.11.2016,1999,8,15,4,11678,18799,HNL,true
29.08.2019,2009,11,21,2,14570,13022,BGN,false
30.11.2017,1992,7,25,4,,,CNY,true
14.10.2019,1992,11,26,5,18299,17919,BDT,true
11.08.2017,2006,7,27,2,16662,12331,PHP,true
14.10.2016,1995,3,25,1,17262,14774,CNY,false
16.10.2015,1993,4,3,4,10359,17890,AOA,false
05.01.2016,2005,9,30,1,14862,17128,NGN,false
19.06.2016,1993,10,18,4,16709,10367,RUB,false
15.03.2019,2007,12,20,1,13458,16208,MGA,false
08.01.2020,2008,11,29,1,12820,15646,,false
14.09.2015,2007,8,27,4,13226,16825,CAD,true
20.10.2017,2010,8,13,2,13270,14607,NPR,false
09.01.2017,1993,7,15,2,14723,15858,CNY,false
02.05.2015,1986,5,19,5,10730,17621,CNY,true
01.02.2018,2001,11,1,2,,,EUR,false
30.11.2017,1989,12,17,4,15492,14202,EUR,false
27.10.2017,2011,7,2,5,11386,14391,NZD,true
23.02.2016,2001,7,27,1,12455,15488,PHP,false
06.07.2016,2003,3,14,1,10518,12013,CNY,true
26.04.2016,1992,8,9,2,15756,11244,RUB,false
07.08.2016,2013,12,21,4,13377,14601,BRL,true
01.01.2016,2010,3,10,1,19526,14168,CNY,true
28.11.2018,2001,10,22,1,15803,16783,COP,false
13.03.2019,2009,3,10,2,12962,10075,SEK,true
25.08.2016,2008,12,1,3,15075,10637,YER,true
09.08.2017,1989,5,24,5,15240,15739,PLN,false
07.03.2018,1988,10,8,1,18762,10096,EUR,false
26.10.2018,1998,12,27,5,17015,10950,,true
13.03.2020,2000,4,30,2,10345,11772,ZAR,false
20.02.2018,2004,6,7,1,17318,17871,VND,false
06.03.2016,2000,12,12,2,11822,17469,SEK,false
03.09.2017,1999,11,27,5,19637,14177,XAF,true
02.07.2017,1993,9,18,1,12785,13362,DOP,false
22.07.2016,2000,12,5,3,19463,17602,EUR,true
30.09.2017,2007,7,30,1,12195,16650,CNY,true
18.01.2017,1995,9,11,2,11771,18624,UAH,
22.07.2018,1994,5,21,2,18465,16488,IDR,true
04.05.2016,1999,12,6,3,16874,14908,ALL,true
21.11.2018,2009,8,3,2,17190,10174,PLN,true
14.09.2019,1986,10,30,4,19241,12523,SEK,false
28.04.2016,2003,9,6,2,16883,16858,NOK,false
15.03.2015,1996,12,13,3,11072,17349,RUB,true
18.11.2017,1990,9,1,3,14877,12670,BOB,false
11.01.2017,1995,6,9,1,15105,19007,EUR,true
18.01.2017,2012,12,27,4,11869,12387,CZK,true
13.02.2016,1984,12,20,5,19902,17130,SEK,true
19.03.2019,1957,11,12,3,18230,13896,HNL,true
09.12.2018,1992,6,21,2,19491,15654,PAB,true
01.08.2018,2006,12,24,1,17707,18602,KES,false
08.06.2019,2010,11,28,5,16877,19534,CNY,false
14.02.2019,1990,12,5,3,18535,12041,MDL,false
27.11.2015,2000,6,30,1,13613,19750,PHP,true
07.07.2016,1996,3,16,5,10038,15986,IDR,false
31.10.2017,2011,8,8,1,17262,10958,RUB,true
01.12.2016,2007,12,7,1,14090,19430,CNY,false
12.12.2015,2001,8,1,3,18213,10280,IDR,false
17.01.2020,2001,12,17,5,11433,13652,IDR,
06.07.2018,2007,9,20,1,15247,18019,CNY,false
18.05.2018,2007,3,3,5,16576,11868,,false
05.01.2020,2011,9,18,2,14502,19257,ARS,false
13.10.2017,1996,6,7,1,16095,13547,EUR,true
30.06.2015,1997,6,11,3,12371,12900,IDR,true
29.06.2015,1986,10,20,3,15632,12897,IDR,true
28.11.2016,1994,6,27,2,14886,14062,GTQ,true
16.09.2018,1990,3,28,4,18516,12637,XOF,true
02.08.2017,2006,11,7,4,12431,11826,ILS,false
31.08.2016,2008,12,15,3,12257,13090,PHP,false
14.05.2019,2010,7,18,1,13693,19920,,false
23.09.2015,2010,11,5,5,16655,18473,CNY,true
21.05.2016,1985,6,3,5,16455,10083,PHP,false
17.11.2018,1995,10,4,2,19393,18028,RUB,true
19.12.2015,2008,7,26,2,17146,16135,CNY,false
08.08.2018,2007,12,19,5,11988,17534,CNY,false
21.04.2015,1967,10,27,3,15879,16790,CNY,false
09.07.2016,1998,7,19,5,15885,10205,RUB,true
22.08.2016,1996,4,18,4,18231,11215,IDR,false
20.05.2017,2011,8,2,5,12237,10241,RUB,false
12.04.2015,1993,5,14,5,15529,19620,IDR,false
25.04.2015,2002,10,29,1,18987,16683,EUR,true
28.09.2016,2002,7,12,1,13958,13821,USD,false
29.12.2019,1992,4,12,3,14046,11640,CNY,true
17.10.2019,1991,9,10,1,11840,12517,MXN,
27.10.2016,1999,6,15,5,18363,18670,RUB,true
12.08.2015,2008,3,25,5,17842,12819,RUB,true
13.05.2016,1993,10,10,2,12748,10295,IDR,true
09.11.2019,2009,3,5,4,16843,15188,SYP,true
06.11.2019,2003,8,6,2,18720,17528,UAH,false
14.01.2016,2009,7,29,1,14431,11198,IDR,true
29.06.2017,1999,4,27,1,14098,15465,CNY,true
17.10.2015,1990,9,25,4,15258,15516,IDR,false
09.03.2016,2003,3,13,5,13132,11158,VEF,true
13.05.2019,2006,9,2,5,12858,18533,IDR,false
18.10.2018,2005,10,10,1,14241,16680,CNY,true
05.07.2015,2001,11,9,3,16321,11123,IDR,true
25.12.2015,2003,12,18,4,13152,12335,BRL,false
16.04.2018,2010,9,12,3,10521,12641,VND,true
21.05.2017,2007,4,20,3,15107,11754,CNY,true
12.10.2015,1997,10,22,4,19719,14718,ILS,false
10.01.2018,2003,4,9,3,16292,11623,EUR,false
14.10.2017,1998,12,26,4,17281,11342,CNY,false
24.08.2015,1998,4,20,1,16153,13547,IDR,false
15.12.2017,2011,5,30,4,11174,14461,IDR,false
09.01.2017,1991,8,16,3,13567,16127,CNY,true
22.09.2017,2001,9,26,1,17077,12975,KES,true
31.07.2018,2002,6,23,5,16625,18912,PHP,false
03.01.2017,2007,12,27,5,18598,10844,RUB,true
14.05.2015,1992,11,26,4,16710,12960,WST,false
28.03.2017,1994,9,29,1,12967,14573,AMD,true
27.08.2015,1994,7,12,2,14060,16822,BAM,false
16.03.2016,2006,6,1,1,,,PLN,false
20.11.2019,2008,8,10,2,13971,14252,EUR,true
07.02.2018,2003,5,27,3,14285,11861,PEN,false
06.05.2019,2008,7,19,1,17189,13824,MXN,true
09.01.2016,2005,5,2,1,12756,13248,USD,true
02.02.2017,1988,3,2,5,11070,13367,EUR,true
27.08.2015,1998,9,30,3,13594,18775,EUR,false
17.10.2018,2004,10,18,5,12272,12814,CNY,true
07.07.2018,1998,7,1,2,11677,16020,IDR,false
06.07.2018,2011,4,22,4,13859,14423,CNY,false
15.01.2019,1995,9,9,3,,,YER,true
08.08.2017,2006,8,1,1,18637,18629,NOK,false
05.02.2020,1998,8,21,1,19426,13886,FJD,true
16.07.2017,1997,9,5,3,13818,12739,IRR,false
26.11.2017,2007,4,5,4,14302,13229,PHP,false
19.04.2019,1997,3,4,4,17843,14997,BRL,true
27.07.2017,1998,11,8,5,12297,16636,XOF,true
26.02.2017,1996,8,30,3,11571,16375,CNY,true
03.10.2015,2006,8,5,3,14131,13449,PEN,false
28.03.2016,2003,8,29,2,11455,11125,JPY,false
11.04.2018,2002,6,26,4,12555,15990,PEN,false
13.04.2019,1992,8,12,5,10776,12281,IDR,true
21.03.2018,2010,12,18,2,17630,13438,EUR,true
22.07.2015,1995,8,1,2,,,PHP,false
08.11.2016,2012,4,16,3,12994,15113,ZAR,true
07.08.2016,1996,10,26,5,,,EUR,true
22.10.2015,2012,6,23,2,11954,18646,EUR,true
10.11.2019,2011,4,3,2,14346,13060,PLN,true
19.12.2016,2009,11,3,4,15940,17671,CNY,true
22.09.2016,1995,8,3,3,10216,18434,COP,false
18.10.2017,1999,9,4,3,11952,18556,JPY,true
05.08.2019,2009,10,21,1,16807,16498,CNY,true
17.02.2019,2012,12,9,3,15119,16473,RUB,true
15.06.2018,2012,10,19,3,16268,10971,PKR,false
12.11.2015,2003,4,23,5,16559,14243,,true
12.02.2016,1989,10,23,2,14357,17336,RUB,false
11.11.2019,2007,9,26,2,15296,16419,,true
04.01.2016,1985,7,27,1,15756,11346,IDR,false
11.01.2016,1994,8,8,2,16151,12526,BGN,true
22.08.2015,1995,7,15,2,17015,13483,RUB,false
09.09.2016,1997,3,22,5,14395,16397,KZT,false
14.10.2017,2010,3,5,5,10923,14887,PKR,false
11.02.2019,1967,9,12,4,18605,12437,MDL,true
05.09.2017,1995,11,8,2,18431,18907,RUB,true
16.09.2015,2008,8,30,5,19817,18173,IDR,true
05.09.2017,2005,4,21,5,13742,17721,COP,
20.11.2018,2000,3,15,4,17459,19486,MNT,false
15.05.2016,2010,10,25,5,16323,16725,ARS,false
17.03.2019,1984,6,30,1,15308,10048,DOP,true
11.12.2019,1986,4,2,4,11771,14277,CNY,false
04.01.2016,2010,4,30,3,13691,16437,EUR,true
17.01.2018,2011,12,18,4,15379,11866,IDR,true
17.10.2016,2000,6,19,2,17881,14389,IDR,false
16.04.2015,2005,10,1,1,,,EUR,false
15.12.2019,2013,6,9,3,10104,15505,ZAR,false
07.04.2017,1994,4,24,2,14810,11018,JOD,false
19.04.2016,2001,5,17,2,14302,11747,CLP,false
05.05.2018,2003,9,2,5,,,RUB,true
01.07.2016,2010,3,6,5,14613,13209,UAH,true
01.05.2019,1987,12,23,4,17782,13211,SAR,
17.11.2017,2006,12,11,1,16725,17319,,true
05.07.2015,1995,6,15,3,11097,15399,EUR,true
21.01.2017,2007,6,25,4,14789,15072,KES,true
15.08.2016,2008,7,1,4,16461,17114,CNY,true
25.06.2017,2000,6,26,1,13548,14666,RUB,false
20.09.2018,2007,3,5,4,17041,13877,CNY,false
03.11.2019,1966,9,22,1,16890,12122,THB,false
15.07.2017,1994,4,18,3,15956,11994,RUB,false
27.01.2020,2000,7,3,3,19426,17990,CNY,true
04.09.2019,2002,4,3,3,12362,11749,KES,false
21.01.2018,2007,4,9,1,18526,10896,,true
11.09.2019,1988,7,13,3,17909,18900,RUB,true
31.08.2017,2010,4,4,2,17328,10791,RUB,
14.02.2018,1993,12,7,1,15603,16557,EUR,false
30.07.2018,2009,9,11,1,12782,12303,CNY,false
05.02.2017,2001,3,14,3,10274,17324,PLN,true
07.06.2018,1999,10,22,4,16299,13457,IDR,true
27.06.2015,1975,8,5,4,10459,10097,HRK,
14.09.2017,1999,8,30,4,16257,10244,JPY,false
31.01.2020,2010,11,21,2,16058,11787,IDR,true
05.11.2016,2006,11,11,2,14089,13414,ARS,false
28.03.2018,1990,11,29,3,18808,12148,IRR,true
19.02.2017,2009,12,13,3,12732,17758,,true
21.07.2015,1999,5,30,5,,,IDR,false
27.01.2018,2010,4,24,3,13321,11902,UAH,false
19.08.2018,1999,12,10,2,10933,18758,IDR,false
27.04.2019,2008,12,22,2,15694,11576,RUB,false
23.07.2019,2005,6,17,2,16386,11048,CNY,false
31.05.2019,2001,6,29,4,13165,12643,PLN,false
22.06.2017,2011,4,22,2,12498,14349,CNY,false
28.03.2017,1995,7,30,1,15234,10934,RUB,false
24.12.2015,2007,5,1,4,19108,18061,JPY,false
16.07.2016,1996,12,29,1,15620,19511,CNY,true
22.05.2017,2002,9,22,3,13024,17173,,true
26.11.2015,1995,10,28,5,13912,15831,IDR,true
19.02.2019,2013,11,19,1,,,XAF,false
09.01.2020,2011,11,29,4,16619,17673,CNY,false
24.07.2018,1971,8,4,2,13536,13511,NZD,true
13.12.2019,1990,4,4,4,19317,11368,PKR,true
04.10.2018,2003,3,25,3,11942,18019,CNY,false
20.11.2019,1995,12,20,5,14558,17659,CAD,true
11.07.2015,2009,5,10,5,12925,13877,IDR,false
